Timestamp,ID,Day,Height,Weight,Steps,Calories,light_sleep,deep_sleep,rem_sleep
19/01/2022 19:45:00,ydun27JYqN,20220118-17:59:59,1.78,84.40,3573.00,1856.99,19860.00,2040.00,0.00
19/01/2022 19:50:01,ydun27JYqN,20220102-17:59:59,1.78,84.40,5895.00,0.00,24240.00,900.00,0.00
19/01/2022 19:50:09,ydun27JYqN,20220119-19:50:05,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:11:03,ydun27JYqN,20220119-20:11:06,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:11:08,ydun27JYqN,20220119-20:11:07,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:11:09,ydun27JYqN,20220119-20:11:08,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:11:09,ydun27JYqN,20220119-20:11:09,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:11:10,ydun27JYqN,20211231-17:59:59,1.78,84.40,6354.00,2017.14,25560.00,0.00,0.00
19/01/2022 20:14:57,ydun27JYqN,20220119-20:15:00,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:14:58,ydun27JYqN,20220119-20:15:01,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:15:42,ydun27JYqN,20220119-20:15:44,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:18:02,ydun27JYqN,20220119-20:18:05,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 20:27:02,ydun27JYqN,20220119-17:59:59,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
19/01/2022 22:02:42,ydun27JYqN,20220119-22:02:45,1.78,84.40,7520.00,1971.24,25380.00,2460.00,0.00
